amendment	plant_code	plant_species	tissue	dryweight
BSFFF	G	Beta vulgaris	root	0.0011
BSFFF	G	Beta vulgaris	root	0.0036
BSFFF	G	Beta vulgaris	root	0.0018
BSFFF	G	Beta vulgaris	root	0.0017
BSFFF	G	Beta vulgaris	root	0.0025
BSFFF	G	Beta vulgaris	root	0.0024
BSFFF	G	Beta vulgaris	root	0.0037
BSFFF	H	B. oleracea var capitata	root	0.0024
BSFFF	H	B. oleracea var capitata	root	0.0019
BSFFF	H	B. oleracea var capitata	root	0.0021
BSFFF	H	B. oleracea var capitata	root	0.0032
BSFFF	H	B. oleracea var capitata	root	0.0053
BSFFF	H	B. oleracea var capitata	root	0.0035
BSFFF	H	B. oleracea var capitata	root	0.0025
BSFFF	H	B. oleracea var capitata	root	0.002
BSFFF	H	B. oleracea var capitata	root	0.0038
BSFFF	H	B. oleracea var capitata	root	0.0024
BSFFF	H	B. oleracea var capitata	root	0.004
BSFFF	H	B. oleracea var capitata	root	0.0031
BSFFF	H	B. oleracea var capitata	root	0.0044
BSFFF	H	B. oleracea var capitata	root	0.0012
BSFFF	H	B. oleracea var capitata	root	0.002
